pair_type,left_id,left_name,right_id,right_name,gpu_length_mm,case_max_gpu_length_mm,compatible
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,80,DAVEN D7 Mesh 세븐팬 (블랙),282.0,400.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,81,darkFlash DS500 RGB (블랙),282.0,405.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,82,잘만 N30 백사십 (블랙),282.0,430.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,83,앱코 G31 오메가포스 세븐팬 (블랙),282.0,400.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,84,3RSYS L600 Quiet (블랙),282.0,400.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,85,오쓰 SOLID FULL MESH (블랙),282.0,400.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),282.0,408.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,87,Antec FLUX PRO MESH (블랙),282.0,455.0,yes
gpu_case,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),282.0,380.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,80,DAVEN D7 Mesh 세븐팬 (블랙),249.0,400.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,81,darkFlash DS500 RGB (블랙),249.0,405.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,82,잘만 N30 백사십 (블랙),249.0,430.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,83,앱코 G31 오메가포스 세븐팬 (블랙),249.0,400.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,84,3RSYS L600 Quiet (블랙),249.0,400.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,85,오쓰 SOLID FULL MESH (블랙),249.0,400.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),249.0,408.0,yes
